rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0,tce_time0_err,tce_duration,tce_duration_err,av_training_set
49,2554867,1,2.489400,2.833320000e-05,2.45497e+06,4.688540000e-03,6.5580,1.0750000e+00,UNK
50,2554867,2,0.723891,1.607220000e-05,2.45497e+06,2.668950000e-03,2.4890,1.1630000e+00,AFP
51,2578072,1,0.968246,1.600490000e-05,2.45497e+06,7.145490000e-03,6.8480,1.8290000e+01,AFP
52,2578077,1,1.879050,1.572280000e-05,2.45497e+06,4.153830000e-03,5.6950,8.1280000e-01,AFP
53,2578077,2,1.878450,1.459830000e-05,2.45497e+06,3.915670000e-03,4.9790,2.5950000e+00,AFP
54,2693092,2,39.841500,1.274170000e-05,2.45497e+06,2.676010000e-04,7.3280,1.2670000e-02,AFP
55,2693097,1,1.413520,1.512030000e-05,2.45497e+06,2.897890000e-03,4.8220,2.3840000e+00,NTP
56,2693097,2,4.240470,1.701270000e-05,2.45497e+06,2.467200000e-03,7.3120,3.4150000e-01,NTP
57,2693097,3,2.827070,1.736550000e-05,2.45497e+06,3.210420000e-03,8.7680,2.4860000e+00,NTP
58,2714932,1,1.936580,1.873100000e-05,2.45497e+06,4.878740000e-03,6.3190,4.3900000e+00,AFP
59,2714932,2,1.936520,1.786250000e-05,2.45497e+06,4.695090000e-03,6.0760,5.4210000e+00,AFP
60,2714947,1,0.968245,9.864480000e-06,2.45497e+06,3.453800000e-03,5.3620,1.0900000e+01,AFP
61,2714954,1,0.968155,2.897150000e-05,2.45497e+06,1.422550000e-02,1.2300,4.4310000e-01,AFP
62,2721129,1,550.335000,1.091450000e-02,2.45520e+06,1.242730000e-02,11.2800,2.1750000e+00,UNK
63,2721129,2,299.740000,8.653740000e-03,2.45514e+06,2.453280000e-02,6.6140,2.2640000e+00,UNK
64,2721835,1,1.454330,2.609690000e-05,2.45497e+06,9.082650000e-03,5.7050,8.2520000e+00,UNK
65,2722074,1,1.938590,2.063960000e-05,2.45496e+06,5.733270000e-03,7.1680,7.3120000e+00,NTP
66,2854698,1,8.187360,1.354950000e-05,2.45497e+06,1.255450000e-03,3.0190,2.2550000e-01,PC
67,2854698,2,76.051000,5.606470000e-04,2.45499e+06,5.866820000e-03,6.6910,9.4920000e-01,PC
68,2854914,1,25.934100,8.085560000e-05,2.45498e+06,2.601290000e-03,4.7790,3.3310000e-01,PC
69,2854914,2,83.446300,3.875830000e-04,2.45499e+06,3.991040000e-03,6.6210,7.0400000e-01,PC
70,2987660,1,0.508591,5.445560000e-05,2.45496e+06,1.385390000e-02,1.4890,1.6260000e+01,UNK
71,2987660,2,0.904939,1.383000000e-05,2.45497e+06,6.082800000e-03,5.1930,1.9030000e+01,NTP
72,2988145,1,1.233580,0.000000000e+00,2.45497e+06,0.000000000e+00,4.5000,0.0000000e+00,AFP
73,2988145,2,1.233550,1.180370000e-05,2.45496e+06,4.313320000e-03,4.3600,5.4620000e+00,AFP
74,1575977,1,2.540430,1.318960000e-05,2.45497e+06,1.866730000e-03,4.9180,2.4330000e-01,UNK
75,2992648,1,1.077360,9.225400000e-06,2.45496e+06,2.749990000e-03,2.3670,1.3960000e+00,UNK
76,2992648,2,3.232790,7.175350000e-05,2.45497e+06,2.370790000e-02,5.2940,3.6420000e-01,AFP
77,2992648,3,3.232130,3.935470000e-05,2.45497e+06,7.308940000e-03,6.2820,2.6900000e+00,AFP
78,2855603,2,0.758263,9.466910000e-06,2.45496e+06,2.372250000e-03,2.3440,2.9500000e+00,AFP
79,2855680,1,1.693380,1.689840000e-05,2.45497e+06,4.641990000e-03,5.2730,2.7100000e+00,UNK
80,2855680,2,0.564462,1.037590000e-05,2.45496e+06,3.843510000e-03,3.5320,1.2890000e+01,UNK
81,2856756,1,0.641049,4.820080000e-06,2.45496e+06,1.574760000e-03,1.8910,3.6180000e-01,AFP
82,2857323,2,0.548762,7.351060000e-06,2.45496e+06,1.677910000e-03,1.3420,3.4540000e-01,AFP
83,2857607,1,41.866800,4.652510000e-04,2.45498e+06,9.379320000e-03,5.6560,1.0670000e+00,PC
84,2857722,1,0.630084,1.109680000e-05,2.45497e+06,1.874640000e-03,1.1100,1.7640000e-01,AFP
85,2857722,2,0.630087,1.199560000e-05,2.45496e+06,1.729800000e-03,0.8888,8.5220000e-02,AFP
86,2860114,1,0.941598,1.987870000e-06,2.45497e+06,3.580800000e-04,0.9807,2.7710000e-02,AFP
87,2860594,1,5.499940,1.712050000e-07,2.45497e+06,2.647460000e-05,10.0800,1.4570000e-03,AFP
88,2860594,2,2.749970,4.210520000e-07,2.45497e+06,1.092190000e-04,9.1210,3.3210000e-03,UNK
89,2860594,3,5.500260,2.111290000e-05,2.45497e+06,2.810980000e-03,15.2400,8.5180000e-01,AFP
90,2860594,4,5.500120,0.000000000e+00,2.45497e+06,0.000000000e+00,15.0000,0.0000000e+00,AFP
91,2307199,2,13.445700,2.452720000e-04,2.45497e+06,1.855240000e-02,21.5300,1.3740000e+00,AFP
92,2860851,1,1.196760,1.601530000e-05,2.45497e+06,8.720640000e-03,1.6560,2.4850000e-01,AFP
93,2860851,2,1.196860,1.374750000e-05,2.45497e+06,7.537550000e-03,1.8000,1.0170000e-01,AFP
94,2439798,1,459.313000,1.164140000e-02,2.45509e+06,1.116170000e-02,2.5870,2.3080000e+00,NTP
95,2969628,2,1.973630,9.979780000e-06,2.45496e+06,2.207170000e-03,1.9050,7.1070000e-02,AFP
96,2969628,3,1.973630,1.543250000e-05,2.45497e+06,3.028410000e-03,1.7890,9.9880000e-02,AFP
97,2969638,1,1.973610,1.828190000e-05,2.45496e+06,6.831770000e-03,3.2860,1.4940000e-01,AFP
98,2554867,3,0.723860,9.648340000e-06,2.45496e+06,1.724200000e-03,2.9670,2.3650000e+00,AFP
99,2970670,1,0.947537,8.936990000e-06,2.45496e+06,1.617430000e-03,1.0580,1.1280000e-01,UNK
100,2970804,1,0.686988,5.613690000e-06,2.45496e+06,9.490790000e-04,1.3010,1.8080000e-01,AFP
101,2970804,2,2.021260,2.014740000e-05,2.45497e+06,5.194260000e-03,6.8330,7.9670000e+00,UNK
102,2971415,2,7.353890,1.147380000e-04,2.45497e+06,1.204960000e-02,15.4500,2.3590000e+00,AFP
103,2971415,3,3.677310,7.955840000e-05,2.45497e+06,1.601890000e-02,10.8500,5.2160000e+00,UNK
104,2972005,1,2.796660,2.445290000e-05,2.45496e+06,6.086360000e-03,1.9570,4.5660000e-01,UNK
105,2972005,2,4.195390,3.165520000e-04,2.45497e+06,5.715450000e-02,14.3900,4.0630000e+00,UNK
106,2693450,1,0.847716,9.313470000e-06,2.45496e+06,2.868760000e-03,3.1720,1.6490000e+00,AFP
107,2974815,1,0.731707,1.148980000e-05,2.45496e+06,2.325680000e-03,1.0640,1.4680000e-01,UNK
108,2974858,1,0.996298,2.068470000e-05,2.45496e+06,5.897930000e-03,3.8030,7.9040000e+00,NTP
109,2975770,1,71.525400,7.563590000e-05,2.45502e+06,7.970810000e-04,5.9720,1.7120000e-01,PC
110,2714955,1,0.982769,1.196310000e-05,2.45497e+06,5.068270000e-03,5.3150,1.7580000e+01,NTP
111,2984505,1,3.049490,2.148710000e-05,2.45497e+06,4.112540000e-03,5.1350,1.0740000e+00,UNK
112,2985022,1,0.581190,7.446580000e-06,2.45496e+06,1.252670000e-03,1.9250,7.6060000e-01,UNK
113,2985398,1,0.582576,1.314030000e-05,2.45496e+06,2.312670000e-03,1.2510,4.3370000e-01,AFP
114,2985398,2,0.581897,3.578770000e-05,2.45497e+06,5.286490000e-03,0.6458,2.5770000e-01,AFP
115,2985587,1,3.375720,7.927480000e-06,2.45497e+06,1.319030000e-03,1.2930,2.5340000e-01,PC
116,2985767,1,14.079700,2.574140000e-05,2.45497e+06,1.606940000e-03,1.4400,2.1670000e-01,PC
117,2988145,3,1.788350,3.626240000e-05,2.45497e+06,1.173280000e-02,4.3790,1.4080000e-01,UNK
118,2988768,1,459.312000,5.902020000e-03,2.45509e+06,8.437770000e-03,3.7970,6.9070000e-01,NTP
119,2988783,1,0.766194,7.396770000e-06,2.45496e+06,1.400380000e-03,1.9180,2.9810000e-01,UNK
120,2989404,1,3.553820,4.017210000e-06,2.45497e+06,7.385630000e-04,3.0360,3.8460000e-02,PC
121,1293379,1,27.555700,8.680050000e-04,2.45497e+06,2.771560000e-02,9.5140,3.0190000e+00,UNK
122,1294670,1,0.593624,9.696100000e-06,2.45496e+06,4.097060000e-03,1.8550,6.2540000e+00,AFP
123,1294670,2,0.593647,9.898730000e-06,2.45497e+06,2.866450000e-03,2.3180,3.4750000e+00,AFP
124,1294756,1,0.530250,1.108390000e-05,2.45496e+06,3.084360000e-03,2.7500,3.8630000e+00,UNK
125,1575977,2,1.088680,1.193080000e-05,2.45496e+06,1.767640000e-03,3.3850,1.2920000e+00,UNK
126,1575977,3,0.693727,0.000000000e+00,2.45496e+06,0.000000000e+00,2.5000,0.0000000e+00,UNK
127,1576115,1,5.443170,8.651960000e-05,2.45497e+06,1.299120000e-02,7.4160,2.8970000e-01,UNK
128,1576115,2,1.814410,2.404690000e-05,2.45497e+06,9.752460000e-03,3.3150,9.7730000e-01,AFP
129,1866252,1,0.700471,1.972680000e-05,2.45497e+06,4.062310000e-03,1.3160,3.7770000e-01,UNK
130,1867078,1,620.929000,2.478590000e-02,2.45518e+06,4.268930000e-02,41.6700,1.0680000e+01,UNK
131,1867630,1,1.389530,6.460640000e-05,2.45496e+06,1.976910000e-02,6.1440,4.4990000e+01,NTP
132,1868918,1,0.583637,1.644930000e-05,2.45496e+06,4.028970000e-03,1.8260,8.3130000e-01,UNK
133,2019477,2,20.571500,4.163350000e-04,2.45498e+06,1.725890000e-02,14.5000,5.4420000e-01,PC
134,2019477,3,1.511000,1.705250000e-05,2.45497e+06,6.019790000e-03,6.1550,7.3550000e+00,UNK
135,2019477,4,3.022130,5.745100000e-05,2.45497e+06,1.259890000e-02,9.0400,8.1700000e+00,NTP
136,2020444,1,0.506371,1.023260000e-05,2.45497e+06,1.216740000e-03,1.7360,9.4750000e-01,UNK
137,2167783,2,0.516584,1.152400000e-05,2.45496e+06,1.867310000e-03,1.6810,1.0270000e+00,UNK
138,2167890,1,2.648290,3.225530000e-07,2.45497e+06,6.452290000e-05,2.6490,5.9470000e-03,AFP
139,2167890,2,2.648280,3.088820000e-06,2.45496e+06,4.730740000e-04,1.9160,1.0300000e-01,AFP
140,2168333,1,0.596465,8.746960000e-06,2.45496e+06,2.019340000e-03,2.0000,9.8100000e-01,UNK
141,2307206,1,204.029000,0.000000000e+00,2.45509e+06,0.000000000e+00,10.5000,0.0000000e+00,AFP
142,2307206,2,204.033000,6.124160000e-05,2.45499e+06,2.821390000e-04,11.6900,3.0640000e-02,AFP
143,2307415,1,4.612640,1.081270000e-05,2.45497e+06,1.683630000e-03,3.0750,9.5460000e-02,PC
144,2307415,2,13.121600,4.159480000e-05,2.45497e+06,2.564630000e-03,3.5040,1.8790000e-01,PC
145,2440757,1,2.867510,3.432750000e-06,2.45496e+06,5.562770000e-04,0.9959,6.9510000e-02,AFP
146,2440757,2,2.867500,7.270710000e-06,2.45497e+06,1.012120000e-03,0.7864,3.2000000e-01,AFP
147,2441151,1,2.191990,1.817010000e-06,2.45497e+06,4.341410000e-04,2.2730,4.6650000e-02,AFP
148,2441161,1,2.192020,1.878790000e-07,2.45497e+06,5.409260000e-05,3.0170,5.2470000e-03,AFP
149,2556639,1,2.481270,3.774400000e-05,2.45497e+06,1.101470000e-02,6.5550,2.2770000e-01,UNK
150,2556650,1,2.852360,3.016750000e-06,2.45497e+06,4.276430000e-04,0.8872,1.8160000e-01,PC
151,2557335,1,0.520070,9.549860000e-06,2.45496e+06,5.781080000e-03,1.3660,6.2010000e-01,UNK
152,2557335,2,0.583008,0.000000000e+00,2.45496e+06,0.000000000e+00,1.5000,0.0000000e+00,UNK
153,2578404,1,0.872278,4.338840000e-06,2.45497e+06,2.096040000e-03,4.3170,6.2960000e+00,AFP
154,2578404,2,0.872247,7.684330000e-06,2.45497e+06,8.427960000e-03,3.1710,5.1200000e-01,AFP
155,2578404,3,0.595526,0.000000000e+00,2.45496e+06,0.000000000e+00,1.5000,0.0000000e+00,UNK
156,2578811,1,6.209720,3.086290000e-05,2.45497e+06,3.700190000e-03,2.7680,1.3140000e-01,NTP
157,2578891,1,2.327280,1.310930000e-05,2.45497e+06,3.035940000e-03,3.1820,1.9230000e-01,NTP
158,2693450,2,0.847666,1.397260000e-05,2.45497e+06,5.134510000e-03,2.8750,7.5360000e+00,AFP
159,2693736,1,12.124000,3.125880000e-05,2.45497e+06,2.143250000e-03,3.3070,4.3400000e-01,PC
160,2694337,1,0.812927,9.468290000e-05,2.45496e+06,2.986450000e-02,2.1770,2.6000000e+00,AFP
161,2694337,2,0.812865,9.165130000e-05,2.45497e+06,8.645250000e-02,6.1510,1.1110000e+02,AFP
162,2715053,1,0.968256,1.220400000e-05,2.45496e+06,4.544670000e-03,4.5100,1.0030000e+01,AFP
163,2715113,1,0.968253,1.150460000e-05,2.45497e+06,4.898480000e-03,5.0390,1.7120000e+01,AFP
164,2715119,1,0.968286,1.085340000e-05,2.45497e+06,3.876060000e-03,3.5610,3.2560000e+00,AFP
165,2715135,1,5.747720,5.860740000e-06,2.45497e+06,7.255200000e-04,1.8840,7.7320000e-02,PC
166,2830919,1,1.540390,9.233080000e-06,2.45497e+06,2.405190000e-03,1.8760,1.3200000e-01,AFP
167,2831048,1,497.660000,1.789880000e-02,2.45502e+06,2.319780000e-02,25.7700,1.8860000e+00,UNK
168,2831055,1,2.209250,1.180470000e-05,2.45496e+06,2.959930000e-03,2.6070,1.4400000e-01,PC
169,2831097,1,0.931998,1.347680000e-05,2.45497e+06,1.584660000e-03,1.3710,6.0280000e-02,UNK
170,2854927,1,6.593800,2.475810000e-04,2.45497e+06,3.086570000e-02,12.7100,3.1790000e+00,UNK
171,2854948,1,0.974299,3.117550000e-06,2.45497e+06,4.652910000e-04,0.9358,9.3410000e-02,NTP
172,2854953,1,0.862334,3.039310000e-05,2.45496e+06,1.097860000e-02,2.4310,2.7310000e+00,UNK
173,2854953,2,1.724800,1.805510000e-05,2.45497e+06,5.227810000e-03,3.7160,3.1170000e+00,NTP
174,1295289,1,459.319000,1.153730000e-02,2.45509e+06,1.834090000e-02,3.9500,1.5250000e+00,NTP
175,1295546,1,1.964430,3.978320000e-05,2.45497e+06,9.761750000e-03,3.7230,4.6570000e+00,AFP
176,1295546,2,1.964490,9.790600000e-05,2.45497e+06,2.496590000e-02,11.4100,6.3770000e+01,AFP
177,1296164,1,1.967860,2.722980000e-02,2.45497e+06,3.143550000e+00,0.5097,8.3550000e+01,AFP
178,1576115,3,1.814380,2.481740000e-05,2.45497e+06,1.016240000e-02,3.4920,7.5300000e-01,AFP
179,1576115,4,1.814300,0.000000000e+00,2.45497e+06,0.000000000e+00,6.0000,0.0000000e+00,AFP
180,1576141,1,2.686800,1.065310000e-04,2.45497e+06,2.727350000e-02,8.9510,2.6680000e+01,UNK
181,1576144,1,2.686710,6.478850000e-06,2.45497e+06,1.219400000e-03,1.8670,4.3680000e-02,AFP
182,1869607,1,12.060400,2.805240000e-04,2.45497e+06,1.886260000e-02,19.8000,2.9020000e-01,AFP
183,1869607,2,12.058700,1.892940000e-04,2.45497e+06,1.295530000e-02,17.3500,1.0790000e+00,AFP
184,1870398,1,43.159300,9.052670000e-04,2.45497e+06,1.759750000e-02,21.2600,1.1370000e+00,PC
185,1870849,1,0.534520,6.785150000e-06,2.45496e+06,1.344870000e-03,1.5010,5.1360000e-01,AFP
186,2021099,1,1.472350,1.588550000e-05,2.45497e+06,4.761770000e-03,3.4900,2.5400000e+00,UNK
187,2021100,1,0.866395,1.309490000e-05,2.45496e+06,4.106850000e-03,2.4420,1.0180000e+00,UNK
188,2021100,2,1.731320,1.711920000e-05,2.45497e+06,4.688030000e-03,2.9860,6.4880000e-01,UNK
189,2021440,1,7.811540,3.621990000e-05,2.45497e+06,3.844590000e-03,5.3390,1.7980000e-01,AFP
190,2168333,2,0.629072,6.568760000e-06,2.45496e+06,3.648330000e-03,1.1640,5.6450000e-02,NTP
191,2168333,3,1.224630,3.663650000e-05,2.45496e+06,1.075040000e-02,3.2790,3.9180000e+00,UNK
192,2168420,1,0.952009,1.597750000e-05,2.45496e+06,1.046200000e-02,1.7490,1.4610000e-01,UNK
193,2168420,2,1.446810,2.704130000e-05,2.45497e+06,1.196820000e-02,3.8600,4.9100000e-01,UNK
194,2307533,1,3.762130,3.048450000e-05,2.45497e+06,5.278100000e-03,4.3580,2.7380000e-01,AFP
195,2307533,2,1.254120,3.476000000e-05,2.45497e+06,1.265930000e-02,3.9930,1.2100000e+01,UNK
196,2307533,3,3.762320,4.333210000e-05,2.45497e+06,7.701090000e-03,7.3470,2.4890000e+00,AFP
197,2308603,1,459.313000,1.093010000e-02,2.45509e+06,1.580790000e-02,6.1180,2.3600000e+00,NTP
198,2441470,1,681.014000,4.195180000e-03,2.45506e+06,6.722980000e-03,8.3370,7.8040000e-01,UNK
199,2441495,1,12.493400,1.248730000e-05,2.45497e+06,8.207940000e-04,2.2380,1.1640000e-01,PC
200,2441728,1,0.856880,2.669420000e-06,2.45496e+06,6.041030000e-04,1.2770,1.2250000e-01,AFP
201,2557350,1,3.098740,1.761450000e-05,2.45497e+06,3.393160000e-03,1.8380,3.8950000e-01,UNK
202,2557430,1,0.648868,1.615720000e-07,2.45496e+06,2.704070000e-05,1.9400,3.1910000e-03,UNK
203,2557555,1,0.633901,2.916410000e-05,2.45497e+06,2.887080000e-03,1.3800,3.5330000e-01,UNK
204,2557816,1,9.378890,2.182110000e-05,2.45497e+06,1.842900000e-03,3.3280,3.2890000e-01,PC
205,2578901,1,2.326940,2.173520000e-05,2.45497e+06,5.041630000e-03,1.9160,2.1330000e-01,AFP
206,2578901,2,2.328520,3.779190000e-05,2.45496e+06,9.836670000e-03,7.2300,8.0560000e+00,AFP
207,2578901,3,1.163030,1.607860000e-05,2.45497e+06,6.777460000e-03,4.2140,1.0050000e+01,UNK
208,2695030,1,0.678443,1.186750000e-05,2.45496e+06,5.980630000e-03,2.1020,4.6510000e+00,AFP
209,2695030,2,0.678468,9.045050000e-06,2.45496e+06,3.667540000e-03,2.4960,5.1920000e+00,AFP
210,2695110,1,44.189400,7.789120000e-05,2.45500e+06,1.478250000e-03,6.7330,1.0520000e-01,AFP
211,2696703,1,6.094050,7.462590000e-07,2.45497e+06,8.279130000e-05,1.8100,8.1080000e-01,PC
212,2715135,2,0.968314,1.392510000e-05,2.45497e+06,5.925850000e-03,6.0730,6.8400000e+00,AFP
213,2715228,1,0.968208,1.540660000e-05,2.45497e+06,6.437480000e-03,3.0710,8.2920000e+00,AFP
214,2715245,1,1.936540,3.615740000e-05,2.45497e+06,1.035630000e-02,5.2760,4.6230000e+00,AFP
215,2831251,1,5.813100,4.988350000e-05,2.45496e+06,6.381430000e-03,3.6620,2.4090000e-01,AFP
216,2832589,1,10.849700,2.891720000e-05,2.45497e+06,2.182570000e-03,3.8420,1.8970000e-01,PC
217,2832753,1,3.551100,2.598200000e-05,2.45497e+06,4.475310000e-03,5.8490,8.8870000e-01,AFP
218,2832753,2,3.551310,2.236020000e-05,2.45497e+06,3.974670000e-03,4.3690,3.9810000e-01,AFP
219,2856756,2,0.640994,8.976730000e-06,2.45496e+06,3.450430000e-03,1.9910,3.3060000e+00,AFP
220,2856756,3,0.641043,1.606480000e-05,2.45497e+06,2.969790000e-03,1.4480,6.8440000e-01,AFP
221,2856960,1,204.304000,6.593330000e-04,2.45500e+06,2.453310000e-03,32.3300,1.4340000e-01,UNK
222,2857323,1,0.548548,4.489660000e-05,2.45496e+06,1.881640000e-02,1.7890,1.0970000e+01,AFP
223,1296164,2,1.960890,4.090520000e-05,2.45497e+06,1.552970000e-02,2.7220,2.1630000e-01,AFP
224,1296164,3,1.961310,3.207120000e-05,2.45497e+06,8.604940000e-03,5.3390,4.9100000e+00,AFP
225,1296721,1,2.609020,8.626640000e-05,2.45497e+06,2.072870000e-02,6.6800,1.0100000e+01,UNK
226,1429120,1,0.760632,1.246160000e-05,2.45497e+06,2.803990000e-03,1.4790,2.6870000e-01,AFP
227,1576144,2,2.686740,8.425380000e-06,2.45497e+06,1.626810000e-03,1.9780,5.6190000e-02,AFP
228,1576144,3,553.980000,2.488950000e-02,2.45501e+06,3.477750000e-02,4.3780,2.2380000e+00,UNK
229,1576144,4,1.343330,1.137180000e-05,2.45497e+06,1.849840000e-03,1.3590,5.5690000e-02,UNK
230,1576144,5,303.479000,0.000000000e+00,2.45524e+06,0.000000000e+00,7.5000,0.0000000e+00,UNK
231,1870849,2,0.796828,5.536630000e-06,2.45497e+06,1.840840000e-03,2.5340,1.4070000e+00,AFP
232,1870849,3,0.796837,1.120540000e-05,2.45496e+06,3.030310000e-03,2.4390,1.6470000e+00,AFP
233,1870849,4,0.534527,0.000000000e+00,2.45496e+06,0.000000000e+00,1.5000,0.0000000e+00,AFP
234,1871056,1,40.806300,1.987850000e-04,2.45499e+06,3.840310000e-03,13.1700,6.2780000e-01,PC
235,2021440,2,7.811570,3.101920000e-05,2.45496e+06,3.062090000e-03,2.9080,6.2120000e-01,AFP
236,2140360,1,0.967455,6.853230000e-06,2.45497e+06,1.054880000e-03,1.8380,4.1830000e-01,UNK
237,2141783,1,116.520000,4.802470000e-04,2.45498e+06,3.466690000e-03,3.5630,1.1340000e+00,PC
238,2282763,1,1.053440,4.837910000e-05,2.45496e+06,7.872250000e-03,3.1900,8.0060000e+00,NTP
239,2282763,2,0.688266,1.156270000e-05,2.45496e+06,1.586690000e-03,1.5980,2.6970000e-01,NTP
240,2282763,3,3.761670,2.346610000e-05,2.45497e+06,3.293210000e-03,2.7660,1.7930000e-01,NTP
241,2308957,1,1.109820,0.000000000e+00,2.45497e+06,0.000000000e+00,3.5000,0.0000000e+00,NTP
242,2309568,1,373.850000,8.361590000e-03,2.45526e+06,1.703380000e-02,12.1800,1.9100000e+00,NTP
243,2309568,2,5.474030,8.278510000e-05,2.45497e+06,1.133520000e-02,14.5100,6.3920000e+00,NTP
